timestamp,elapsed_time,x,y,z,velocity,is_static,anchor_count,a1_measured,a1_filtered,a1_corrected,a2_measured,a2_filtered,a2_corrected,a3_measured,a3_filtered,a3_corrected,a4_measured,a4_filtered,a4_corrected,a5_measured,a5_filtered,a5_corrected
2025-11-08 13:36:18.093,15.596,1.943023,0.739400,1.426956,0.156651,0,5,1.906511,2.009267,2.088471,0.809165,1.485757,1.391321,4.242924,3.835520,4.016267,3.295873,3.192652,2.946816,1.512012,1.295871,1.250996
2025-11-08 13:36:18.340,15.844,1.943023,0.739400,1.426956,0.000000,0,4,1.906511,2.043662,2.088471,0.809165,1.444747,1.391321,3.794688,3.733607,3.600836,,,,1.512012,1.276383,1.250996
2025-11-08 13:36:18.596,16.099,1.943023,0.739400,1.426956,0.110444,0,5,1.598581,2.024239,1.998934,0.974959,1.469507,1.501765,4.068463,3.772177,3.822426,3.111420,3.073740,2.918825,1.042668,1.152571,0.991270
2025-11-08 13:36:18.851,16.355,1.943023,0.739400,1.426956,0.000000,0,4,1.598581,2.013250,1.998934,0.974959,1.483515,1.501765,4.068463,3.793998,3.822426,3.723204,3.206434,3.379305,,,
2025-11-08 13:36:19.155,16.659,1.859145,0.756973,1.702405,0.084513,0,5,2.128080,2.009075,2.003635,0.910925,1.490561,1.499740,3.679978,3.652830,3.468919,3.502555,3.186643,3.160858,1.301659,1.119225,1.075783
2025-11-08 13:36:19.361,16.864,1.710139,0.659934,1.619432,0.000000,0,4,,,,0.910925,1.494547,1.499740,3.679978,3.572965,3.468919,3.502555,3.175445,3.160858,1.784255,1.290233,1.513018
2025-11-08 13:36:19.632,17.136,1.670663,0.706296,1.888068,0.171770,0,5,1.411578,1.977750,1.954069,0.763281,1.506741,1.515960,4.182562,3.708405,3.884853,3.195030,3.094518,2.989088,1.415451,1.196669,1.074776
2025-11-08 13:36:19.905,17.409,1.670663,0.706296,1.888068,0.000000,0,4,1.626517,1.946179,1.892623,,,,4.182562,3.785029,3.884853,3.195030,3.048734,2.989088,1.415451,1.143736,1.074776
2025-11-08 13:36:20.157,17.661,1.629976,0.781043,2.008290,0.258644,0,5,1.738472,1.955096,1.977910,1.731431,1.688312,2.035377,3.311581,3.582653,3.319002,3.094290,2.984620,2.901094,1.596132,1.226108,1.333421
2025-11-08 13:36:20.345,17.849,1.648929,0.924864,1.809637,0.000000,0,4,1.738472,1.960375,1.977910,1.694724,2.007080,2.478071,,,,3.094290,2.948348,2.901094,1.596132,1.272710,1.333421
2025-11-08 13:36:20.608,18.112,1.560900,0.902783,1.959684,0.607860,0,5,1.373953,1.956061,1.938898,1.769974,1.949009,1.870211,4.242006,3.767479,4.008267,3.440867,3.044104,3.168852,1.949845,1.566439,1.949103
2025-11-08 13:36:21.113,18.617,1.584871,0.861345,1.937269,0.310911,0,5,1.653437,1.930888,1.816920,1.386792,1.753313,1.495008,3.526113,3.570700,3.314341,3.762054,3.233292,3.479763,1.959328,1.695688,1.864072
2025-11-08 13:36:21.358,18.861,1.673703,0.796270,1.784005,0.000000,0,4,1.653437,1.911821,1.816920,1.386792,1.641408,1.495008,3.526113,3.459374,3.314341,3.953950,3.470232,3.778912,,,
2025-11-08 13:36:22.093,19.596,1.673703,0.796270,1.784005,0.282011,0,3,,,,1.247713,1.455508,1.212997,,,,3.488179,3.356044,3.207282,1.727155,1.570473,1.407345
2025-11-08 13:36:22.349,19.853,1.673703,0.796270,1.784005,0.081034,0,4,1.370892,1.909633,1.897954,,,,3.629200,3.446234,3.429114,3.488179,3.291443,3.207282,1.727155,1.499633,1.407345
2025-11-08 13:36:22.856,20.360,1.749998,0.767606,1.564696,0.305860,0,4,0.983734,1.615575,0.853607,1.362729,1.483011,1.518857,,,,3.806510,3.383852,3.504240,0.957630,1.295406,1.029345
2025-11-08 13:36:23.349,20.852,1.695554,0.758392,1.749954,0.535472,0,5,1.530164,1.730994,1.919651,1.227626,1.441446,1.387289,3.933360,3.567485,3.725449,2.816132,3.087226,2.700788,1.847371,1.412400,1.564817
2025-11-08 13:36:23.842,21.345,1.625860,0.760889,1.810181,0.369055,0,4,1.297071,1.655913,1.550596,1.444810,1.692592,2.019792,3.754922,3.557764,3.545100,3.027504,3.064573,3.035061,,,
2025-11-08 13:36:24.089,21.592,1.673443,0.816749,1.793337,0.370613,0,5,2.085460,1.998380,2.455290,1.549834,1.697624,1.704180,3.383366,3.391323,3.174488,3.368778,3.186169,3.344582,1.209382,1.235426,1.004868
2025-11-08 13:36:24.350,21.853,1.657788,0.767533,1.524756,0.000000,0,4,,,,1.549834,1.700471,1.704180,3.383366,3.297161,3.174488,3.368778,3.254961,3.344582,0.965890,1.144302,1.025589
